sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
1328,泰山區,義學國小,25.05176,121.43167,25.0,4.3,9.6,0.0,4.6,0.4
1329,泰山區,莊泰坡雅路口(沐光社區),25.04633,121.43938,40.0,16.6,26.2,0.0,0.0,4.2
1330,泰山區,莊泰義東街口(新潤A5社區),25.05025,121.43911,40.0,1.9,10.6,0.0,8.4,1.3
1331,泰山區,莊田信華三街口(潤見築社區),25.04303,121.43981,40.0,11.3,17.3,0.0,0.0,4.4
1332,泰山區,貴和市民活動中心,25.035,121.422,20.0,3.4,7.5,0.0,3.7,1.4
1333,泰山區,貴子路36巷3弄口,25.04137,121.42591,12.0,8.8,5.3,4.8,0.0,32.9
1334,淡水區,中山北新春街口,25.18035,121.44474,49.0,12.7,24.5,0.0,0.0,3.8
1335,淡水區,中正東路一段81巷,25.16205,121.45311,15.0,1.3,7.3,0.0,5.3,0.0
1336,淡水區,中正淡海路口,25.17779,121.42422,15.0,1.6,6.8,0.0,4.8,0.6
1337,淡水區,大庄一號公園,25.18201,121.42212,35.0,4.1,12.6,0.0,8.0,0.8
1338,淡水區,大庄福德宮,25.1883,121.42796,15.0,1.4,6.7,0.0,4.7,1.6
1339,淡水區,崁頂三後洲路一段路口,25.20158,121.42972,20.0,0.6,9.1,0.0,7.1,0.0
1340,淡水區,崁頂三路,25.20081,121.43177,15.0,2.8,6.9,0.0,3.6,3.2
1341,淡水區,崁頂市民活動中心,25.19772,121.4287,20.0,2.4,8.9,0.0,6.2,0.8
1342,淡水區,崁頂林子福德宮,25.19959,121.43038,15.0,2.7,7.0,0.0,3.9,1.6
1343,淡水區,捷運淡水站,25.16883,121.44418,98.0,13.9,25.2,0.0,0.0,0.4
1344,淡水區,捷運淡水站(中正東路),25.16771,121.44684,40.0,12.3,21.8,0.0,0.0,0.0
1345,淡水區,捷運淡水站(中正鼻頭街口),25.1667,121.44675,14.0,4.3,6.5,0.0,0.0,1.3
1346,淡水區,捷運竹圍站,25.13717,121.46023,54.0,6.1,13.8,0.0,6.8,0.1
1347,淡水區,捷運紅樹林站,25.15358,121.45912,44.0,2.5,11.6,0.0,8.7,1.8
1348,淡水區,文中四公園,25.1854,121.4235,20.0,1.4,8.5,0.0,6.5,0.3
1349,淡水區,文化機車立體停車場,25.17249,121.43881,34.0,4.8,11.7,0.0,6.1,4.2
1350,淡水區,新市一中山北路口,25.18296,121.44412,14.0,3.0,7.4,0.0,3.9,3.8
1351,淡水區,新市一路一段256巷口,25.18665,121.43273,21.0,3.7,8.0,0.0,3.7,6.6
1352,淡水區,新市一路一段331巷/義山路一段163巷口(東南側),25.18731,121.43596,15.0,1.9,7.2,0.0,5.0,1.0
1353,淡水區,新市一路一段99巷口,25.18796,121.43109,38.0,7.8,18.9,0.0,9.9,0.3
1354,淡水區,新市三崁頂三路口,25.19691,121.43063,20.0,2.9,8.4,0.0,5.1,0.6
1355,淡水區,新市三崁頂五路口,25.19897,121.42526,18.0,3.0,10.5,0.0,7.1,0.3
1356,淡水區,新市三義山路口,25.19569,121.4366,38.0,13.3,18.2,0.0,0.0,6.4
1357,淡水區,新市二後洲路口,25.19638,121.42507,16.0,1.5,7.5,0.0,5.5,0.0
1358,淡水區,新市二路三段/濱海路二段202巷口,25.19343,121.43482,15.0,2.2,5.6,0.0,3.1,1.7
1359,淡水區,新市二路三段36巷口,25.19301,121.43302,22.0,2.3,8.9,0.0,6.3,1.3
1360,淡水區,新市二路二段,25.19524,121.42793,26.0,2.2,12.1,0.0,9.5,0.0
