sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
731,新莊區,昌隆國小,25.05213,121.45489,46.0,17.4,13.9,6.1,0.0,0.1
732,新莊區,榮富國小,25.05172,121.44659,26.0,16.3,9.9,8.9,0.0,0.8
733,新莊區,民安國小(東側),25.02259,121.42873,17.0,3.9,6.0,0.0,0.0,1.0
734,新莊區,民安東民全街口,25.02077,121.42956,25.0,4.2,7.6,0.0,0.0,2.7
735,新莊區,民安西路252巷,25.01372,121.42485,15.0,6.5,5.2,2.3,0.0,2.8
736,新莊區,民安西路468巷口,25.00796,121.43176,25.0,5.9,10.0,0.0,0.0,1.8
737,新莊區,民安西路88巷口,25.01912,121.42703,18.0,6.9,5.2,2.7,0.0,2.5
738,新莊區,潭底溝休憩廣場,25.02191,121.42636,10.0,6.4,3.9,3.4,0.0,2.8
739,新莊區,瓊林公園,25.02629,121.44244,30.0,1.7,10.1,0.0,8.1,0.7
740,新莊區,瓊林南路101巷口,25.01258,121.4343,33.0,2.9,11.6,0.0,8.2,0.4
741,新莊區,瓊泰市民活動中心,25.02926,121.44312,15.0,14.4,11.1,5.5,0.0,0.7
742,新莊區,登龍平面停車場,25.03662,121.45654,32.0,3.2,13.3,0.0,9.6,0.6
743,新莊區,福基公園,25.05816,121.46086,40.0,4.1,6.3,0.0,0.0,1.4
744,新莊區,福壽公園,25.05151,121.45758,46.0,11.5,8.7,4.6,0.0,0.0
745,新莊區,福壽昌智路口,25.05614,121.45804,30.0,1.4,1.6,0.0,0.0,38.0
746,新莊區,福德二街35號,25.05719,121.4623,15.0,9.7,5.8,5.3,0.0,2.3
747,新莊區,福慧新知八路口,25.06204,121.45519,20.0,12.7,11.4,3.2,0.0,18.8
748,新莊區,福營國中,25.02532,121.42198,15.0,0.5,1.8,0.0,0.0,3.1
749,新莊區,福營行政中心,25.02413,121.42387,43.0,7.6,8.8,0.0,0.0,0.6
750,新莊區,福祿1號公園,25.06386,121.4638,15.0,4.3,6.3,0.0,0.0,4.1
751,新莊區,福美公園,25.05503,121.46106,45.0,9.5,7.0,4.0,0.0,1.3
752,新莊區,立泰里(中環路二段),25.04568,121.44213,25.0,2.8,4.9,0.0,0.0,6.9
753,新莊區,臺北醫院,25.04358,121.45978,39.0,7.9,8.2,0.9,0.0,7.6
754,新莊區,興化公園,25.06523,121.46112,55.0,14.8,12.5,4.5,0.0,1.0
755,新莊區,行政院新莊聯合辦公大樓,25.05595,121.44443,51.0,22.4,23.2,2.6,0.0,8.9
756,新莊區,西盛公園,25.01711,121.42805,24.0,12.4,7.3,7.0,0.0,0.7
757,新莊區,西盛廣場,25.00089,121.43149,39.0,3.0,10.4,0.0,7.0,1.4
758,新莊區,西盛館,25.01191,121.43271,20.0,3.2,6.9,0.0,3.3,4.1
759,新莊區,覺明寺(豐年街53巷),25.03172,121.44721,11.0,9.9,5.4,6.0,0.0,1.4
760,新莊區,豐年國小,25.0307,121.44324,28.0,2.8,6.5,0.0,3.3,1.0
